stop_id,stop_name,stop_lat,stop_lon
ПЪТЕН ВЪЗЕЛ ФИЛИПОВЦИ,908,42.718382,23.23602
МЕТРОСТАНЦИЯ ВИТОША,909,42.660196,23.318027
МЕТРОСТАНЦИЯ ВИТОША,910,42.660599,23.317084
МЕТРОСТАНЦИЯ ВИТОША,911,42.660095,23.317087
МЕТРОСТАНЦИЯ ВИТОША,912,42.659808,23.317681
КВ. ХРИСТО БОТЕВ,913,42.689382,23.382739
КВ. КРЪСТОВА ВАДА,914,42.64943,23.315482
ВОЕННОРЕМОНТЕН ЗАВОД,915,42.756412,23.209517
ВОЕННОРЕМОНТЕН ЗАВОД,916,42.756923,23.208461
МЕСТНОСТ МАНИЛОВ ДОЛ,917,42.69895,23.195826
МЕСТНОСТ МАНИЛОВ ДОЛ,918,42.69885,23.195428
КВ. КРЪСТОВА ВАДА,919,42.647865,23.314863
УЛ. ЧЕПИНСКО ШОСЕ,920,42.723541,23.36971
УЛ. ЧЕПИНСКО ШОСЕ,921,42.723341,23.369133
ЧИТАЛИЩЕ ПЕНЧО П. СЛАВЕЙКОВ 1921,922,42.670422,23.320301
ЧИТАЛИЩЕ ПЕНЧО П.СЛАВЕЙКОВ 1921,923,42.670658,23.320494
БАЛКАНКЕРАМИК АД - ПО ЖЕЛАНИЕ,924,42.806904,23.348442
БАЛКАНКЕРАМИК АД - ПО ЖЕЛАНИЕ,925,42.806574,23.347958
КИНО ОДЕОН,926,42.688307,23.327296
КИНО ОДЕОН,927,42.688595,23.329631
ЧИТАЛИЩЕ Д-Р П. БЕРОН,928,42.676157,23.309031
ЧИТАЛИЩЕ Д-Р П. БЕРОН,929,42.676246,23.308764
КИНОЦЕНТЪР БОЯНА,930,42.641694,23.293047
КИНОЦЕНТЪР БОЯНА,931,42.641678,23.292841
КМЕТСТВО БАЛША,932,42.848574,23.269522
КМЕТСТВО БАЛША,933,42.848616,23.269333
КМЕТСТВО БОЖУРИЩЕ,934,42.763258,23.198169
КМЕТСТВО ЖЕЛЕЗНИЦА,936,42.53385,23.36636
КМЕТСТВО ЖЕЛЕЗНИЦА,937,42.533716,23.366098
ЦЕНТЪРА КВ. ИЛИЯНЦИ - ПО ЖЕЛАНИЕ,938,42.751559,23.318659
ЦЕНТЪРА КВ. ИЛИЯНЦИ - ПО ЖЕЛАНИЕ,939,42.750557,23.318456
КМЕТСТВО КАЗИЧЕНЕ,940,42.659735,23.464802
КМЕТСТВО КАЗИЧЕНЕ,941,42.65984,23.464901
ЧИТАЛИЩЕ ПРОСВЕТА,942,42.696271,23.226771
ЧИТАЛИЩЕ ПРОСВЕТА,943,42.695997,23.227616
ОБЩИНА  МЛАДОСТ,944,42.641513,23.381339
ОБЩИНА  МЛАДОСТ,945,42.641067,23.383728
ОБЩИНА  МЛАДОСТ,946,42.640843,23.380604
ОБЩИНА  МЛАДОСТ,947,42.640215,23.381531
КМЕТСТВО СВЕТОВРАЧАНЕ,948,42.782445,23.387717
КМЕТСТВО СВЕТОВРАЧАНЕ,949,42.782331,23.387653
КМЕТСТВО СЕЛО ЯНА,950,42.731287,23.558011
КМЕТСТВО СЕЛО ЯНА,951,42.730895,23.55782
КМЕТСТВО ЛОЗЕН,952,42.601671,23.486862
КМЕТСТВО ДОЛНИ БОГРОВ,953,42.69963,23.492041
КМЕТСТВО ДОЛНИ БОГРОВ,954,42.700061,23.492328
ОБЩИНА НОВИ ИСКЪР - ПО ЖЕЛАНИЕ,955,42.802807,23.343591
ОБЩИНА НОВИ ИСКЪР - ПО ЖЕЛАНИЕ,956,42.803114,23.34419
ОБЩИНА БАНКЯ,957,42.70604,23.14796
ОБЩИНА БАНКЯ,958,42.705852,23.147991
КМЕТСТВО ИВАНЯНЕ,959,42.707786,23.182782
